Line Section,Equipment / Asset ID,Manufacturer Code Pillow Block,Manufacturer Pillow Block,Manufacturer Code Bearing,Manufacturer Bearing,Bearing Type,Lubricant Type,Grease Fitting Position,Bearing Volume,Pillow Block 1st Fill %,Pillow Block 1st Fill g,Lubrication Grease (g),Lubrication Period (weeks)
PROCESS SECTION,BRU - 001 - ENTRY ROLL - BRIDLE ROLL UNIT #2 - Driven Side,FSAFS-220,TORRINGTON,22220EJW33,TIMKEN,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,177 cm3,40%,63 g,37 g,36
PROCESS SECTION,BRU - 002 - ENTRY ROLL - BRIDLE ROLL UNIT #2 - OPS Side,FSAFS-220,TORRINGTON,22220EJW33,TIMKEN,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,177 cm3,40%,63 g,37 g,36
PROCESS SECTION,BRU - 003 - MIDDLE ROLL - BRIDLE ROLL UNIT #2 - Driven Side,FSAFS-220,TORRINGTON,22220EJW33,TIMKEN,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,177 cm3,40%,63 g,37 g,36
PROCESS SECTION,BRU - 004 - MIDDLE ROLL - BRIDLE ROLL UNIT #2 - OPS Side,FSAFS-220,TORRINGTON,22220EJW33,TIMKEN,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,177 cm3,40%,63 g,37 g,36
PROCESS SECTION,BRU - 005 - EXIT ROLL - BRIDLE ROLL UNIT #2 - Driven Side,FSAFS-220,TORRINGTON,22220EJW33,TIMKEN,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,177 cm3,40%,63 g,37 g,36
PROCESS SECTION,BRU - 006 - EXIT ROLL - BRIDLE ROLL UNIT #2 - OPS Side,FSAFS-220,TORRINGTON,22220EJW33,TIMKEN,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,177 cm3,40%,63 g,37 g,36
PROCESS SECTION,CDR - 007 - DEFLECTOR ROLL #3 - Driven Side,04693120-519,DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,CDR - 008 - DEFLECTOR ROLL #3 - OPS Side,04693120-519,DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,SKR - 009 - SINK ROLL #4 - Driven Side,04693220-514-1,DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,SKR - 010 - SINK ROLL #4 - OPS Side,04693220-514-1,DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,CDR - 011 - CONDUCTOR ROLL #5 - Driven Side,04693120-519-1,DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,CDR - 012 - CONDUCTOR ROLL #5 - OPS Side,04693120-519,DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,HDR - 013 - HOLD DOWN ROLL #5S - Driven Side,04693120-526-1,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,HDR - 014 - HOLD DOWN ROLL #5S - OPS Side,04693120-526-1,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,SKR - 015 - SINK ROLL #6 - Driven Side,04693220-514-1,DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,SKR - 016 - SINK ROLL #6 - OPS Side,04693220-514-1,DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,CDR - 017 - CONDUCTOR ROLL #7 - Driven Side,04693120-519-1,DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,CDR - 018 - CONDUCTOR ROLL #7 - OPS Side,04693120-519,DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,HDR - 019 - HOLD DOWN ROLL # 7S - Driven Side,04693120-526-1,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,HDR - 020 - HOLD DOWN ROLL # 7S - OPS Side,04693120-526-1,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,SKR - 021 - SINK ROLL #8 - Driven Side,04693220-514-1,DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,SKR - 022 - SINK ROLL #8 - OPS Side,04693220-514-1,DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,MOBILGEAR MS 320,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
